Transaction Date,Description,Amount,Category
10/19/2018,PETCO 778     63507784,-14.38,Pet
10/20/2018,TRADER JOE'S #542  QPS,-8.83,Grocery
10/20/2018,Ultra Mobile,-31.82,Bill/Mobile
10/20/2018,RESTAURANT BASTA PASTA,-85.0,Restaurant
10/20/2018,TST* LITTLE TONG NOODLE S,-14.15,Restaurant
10/17/2018,WHOLEFDS MTE #10408,-2.33,Grocery
10/17/2018,WHOLEFDS MTE #10408,-2.5,Grocery
10/16/2018,TST* LITTLE TONG NOODLE S,-14.15,Restaurant
10/16/2018,SQ *MY PIE PIZZERIA ROMAN,-4.9,Restaurant
10/16/2018,Payment Thank You-Mobile,1295.0,Credit/Card Payment
10/14/2018,PARIS BAGUETTE 8TH AVE,-6.65,Restaurant
10/13/2018,MCDONALD'S F14780,-4.36,Restaurant
10/14/2018,HONG KONG SUPERMARKET OF,-18.93,Grocery
10/13/2018,TWO LITTLE RED HENS BAKER,-11.43,Restaurant
10/12/2018,GYU-KAKU RESTAURANT,-25.0,Restaurant
10/10/2018,CAFE OLYMPIA 55,-8.13,Restaurant
10/10/2018,BAUER DENTAL ARTS PLLC,-31.0,Health&Wellness
10/10/2018,WHOLEFDS MTE #10408,-18.43,Grocery
10/09/2018,GRAND SICHUAN,-9.74,Restaurant
10/07/2018,FAIRWAY MKT DT,-1.67,Grocery
10/08/2018,CAFE OLYMPIA 55,-7.44,Restaurant
10/05/2018,RAVAGH PERSIAN GRILLE,-29.0,Restaurant
10/06/2018,SQ *RECOLTE BAKERY,-8.53,Restaurant
10/05/2018,DUMPLING DUMPLING.,-8.98,Restaurant
10/06/2018,TRADER JOE'S #542  QPS,-22.59,Grocery
10/05/2018,THE JEFFREY,-14.34,Restaurant
10/02/2018,WHOLEFDS MTE #10408,-2.5,Grocery
09/29/2018,TRADER JOE'S #542  QPS,-14.93,Grocery
09/20/2018,ALASKA AIR  0272185483181,-296.4,Travel/Airfare
09/22/2018,PARIS BAGUETTE - NYC,-6.4,Restaurant
09/23/2018,Amazon.com*MT6X23T82,-21.82,Shopping/Amazon
09/22/2018,TRADER JOE'S #542  QPS,-14.46,Grocery
09/20/2018,Ultra Mobile,-31.79,Bill/Mobile
09/20/2018,AUTOMATIC PAYMENT - THANK,117.59,Credit/Card Payment
09/16/2018,STARBUCKS STORE 15685,-4.84,Restaurant
09/17/2018,WHOLEFDS MTE #10408,-7.37,Grocery
09/17/2018,BLINK WEB #996,-27.0,Entertainment
09/15/2018,STEPS ON BROADWAY,-185.0,Fitness
09/15/2018,CAPEZIO-AMSTERDAM AVE,-18.0,Fitness
09/17/2018,AMZN Mktp US,-23.94,Shopping/Amazon
09/13/2018,GREEK EATS,-13.07,Restaurant
09/13/2018,JUICE GENERATION 8 42ND S,-18.4,Restaurant
09/15/2018,TRADER JOE'S #542  QPS,-24.15,Grocery
09/09/2018,BLOOMINGDALES  .COM,-145.89,Shopping/General
09/08/2018,SQ *NEW YORK BAKERY GROUP,-2.99,Restaurant
09/06/2018,ARAMARK CHICK FIL A,-4.54,Restaurant
09/08/2018,Amazon.com,-6.47,Shopping/Amazon
09/08/2018,Amazon.com,-12.81,Shopping/Amazon
09/08/2018,Amazon.com,-5.67,Shopping/Amazon
09/04/2018,PHR*ManhattanCardiology,-25.0,Health&Wellness
09/03/2018,GRACE'S MARKETPLACE,-6.75,Grocery
09/03/2018,SQ *VIVI BUBBLE TEA,-4.9,Restaurant
09/02/2018,LUSH LEXINGTON (750),-10.83,Shopping/Beauty
09/02/2018,WHOLEFDS MTE #10408,-34.92,Grocery
09/01/2018,HONG KONG SUPERMARKET,-12.04,Grocery
09/02/2018,Amazon.com,-10.89,Shopping/Amazon
09/01/2018,CHEWY.COM,-56.11,Pet
09/01/2018,KATAGIRI &amp; CO,-9.36,Grocery
08/26/2018,CVS/PHARMACY #02400,-10.0,Health&Wellness
08/24/2018,CVS/PHARMACY #02144,-1.13,Health&Wellness
08/23/2018,TST*GREGORYS COFFEE - GC1,-5.06,Restaurant
08/20/2018,Ultra Mobile,-32.61,Bill/Mobile
08/20/2018,AUTOMATIC PAYMENT - THANK,2603.06,Credit/Card Payment
08/12/2018,CVS/PHARMACY #02400,-2.5,Health&Wellness
08/06/2018,CHEWY.COM,-48.48,Pet
08/03/2018,PETCO 3746    63537468,-23.14,Pet
07/29/2018,FEDEX 782044771982,-10.5,Bill/Utility
07/27/2018,CVS/PHARMACY #02400,-0.36,Health&Wellness
07/23/2018,AMAZON MKTPLACE PMTS,14.99,Shopping/Amazon
07/21/2018,CENTURY TWENTY ONE #18,13.99,Shopping/Clothes
07/21/2018,Ultra Mobile,-32.61,Bill/Mobile
07/21/2018,SEPHORA 312,-25.04,Shopping/Beauty
07/20/2018,AUTOMATIC PAYMENT - THANK,434.32,Credit/Card Payment
07/18/2018,COSMOPOLITAN FRONT DESK,-79.36,Travel/Hotel
07/18/2018,PAPA THAI CUISINE,-9.74,Restaurant
07/17/2018,SCOTT LLOYD,-90.0,Health&Wellness
07/15/2018,SHELL OIL 57444795603,-10.25,Travel/Gas
07/15/2018,ZION NAT'L PRK VISITOR,-13.77,Travel/Fees
07/16/2018,CVS/PHARMACY #10348,-1.94,Health&Wellness
07/16/2018,BUDGET CAR AND TRUCK REN,-169.12,Travel/RentalCar
07/14/2018,SHELL OIL 10007061004,-31.81,Travel/Gas
07/14/2018,GRAND CYN NP-SOUTH RIM,-80.0,Bill/Mobile
07/14/2018,HOPI HOUSE GIFT SHOP,-7.47,Shopping/General
07/14/2018,SQ *BRIGHT ANGEL BICYCLES,-2.35,Restaurant
07/12/2018,Chengdu Taste,-36.78,Restaurant
07/12/2018,LULULEMON LAS VEGAS N,-31.39,Shopping/Clothes
07/13/2018,VDARA - FRONT DESK,-88.44,Travel/Hotel
07/12/2018,LUSH MIRACLE MILE (476),-7.52,Shopping/Beauty
07/09/2018,THE HOME DEPOT 6177,-5.97,Shopping/HomeGoods
07/08/2018,PRICELINE*HOTEL ROOMS,-187.98,Travel/Hotel
07/07/2018,CENTURY TWENTY ONE #18,-13.99,Shopping/Clothes
07/05/2018,SCOTT LLOYD,275.0,Health&Wellness
07/04/2018,SCOTT LLOYD,-275.0,Health&Wellness
07/05/2018,Amazon.com,-9.79,Shopping/Amazon
07/03/2018,SHINSHI RAMEN,-15.68,Restaurant
07/04/2018,AMAZON MKTPLACE PMTS,-34.97,Shopping/Amazon
07/01/2018,STANFORD NEW YORK LLC,-16.0,Restaurant
07/01/2018,JONGRO BBQ,-50.0,Restaurant
07/02/2018,PRICELINE*HOTEL ROOMS,-197.98,Travel/Hotel
07/01/2018,TOUS LES JOURS,-3.95,Restaurant
06/30/2018,XIAN FAMOUS FOODS,-12.7,Restaurant
07/01/2018,CHEWY.COM,22.68,Pet
06/30/2018,CHEWY.COM,12.16,Pet
06/29/2018,SQ *VIVI BUBBLE TEA,-4.9,Restaurant
06/27/2018,JETBLUE     2792103799888,-576.8,Travel/Airfare
06/27/2018,CHEWY.COM,-38.15,Pet
06/28/2018,AIRBNB,-84.83,Travel/Hotel
06/28/2018,AIRBNB,-66.82,Travel/Hotel
06/27/2018,CHEWY.COM,-51.79,Pet
06/26/2018,SQ *MY PIE PIZZERIA ROMAN,-5.39,Restaurant
06/25/2018,PARIS BAGUETTE 8TH AVE,-6.1,Restaurant
06/23/2018,BREADS BAKERY,-3.75,Restaurant
06/25/2018,TST* BAREBURGER DITMAR,-28.0,Restaurant
06/23/2018,STEPS ON BROADWAY,-185.0,Fitness
06/23/2018,FAIRWAY MKT DT,-1.67,Grocery
06/22/2018,GYU-KAKU RESTAURANT,-24.0,Restaurant
06/23/2018,TRADER JOE'S #542  QPS,-13.24,Grocery
06/21/2018,Ultra Mobile,-32.61,Bill/Mobile
06/21/2018,AMAZON MKTPLACE PMTS,-10.88,Shopping/Amazon
06/20/2018,AUTOMATIC PAYMENT - THANK,930.42,Credit/Card Payment
06/15/2018,SCOTT LLOYD,-25.0,Health&Wellness
06/10/2018,RITZ DINER,-31.55,Restaurant
06/09/2018,TST* M. WELLS DINETTE,-7.62,Restaurant
06/08/2018,THE LEGO STORE,-381.05,Shopping/General
06/10/2018,TAMASHII BLUE,-42.0,Restaurant
06/07/2018,T J MAXX #1185,-8.7,Shopping/HomeGoods
06/06/2018,NANCY LEBOWITZ MD PC,-50.0,Health&Wellness
06/06/2018,OMARS MEDITERRANEAN CUISI,-12.52,Restaurant
05/31/2018,AMAZON MKTPLACE PMTS,19.99,Shopping/Amazon
05/28/2018,J MART GROUP INC,-12.32,Grocery
05/27/2018,FRUITLIFE ROOSEVELT IN,-19.27,Restaurant
05/27/2018,CHEWY.COM,-85.04,Pet
05/24/2018,AMAZON MKTPLACE PMTS,-16.22,Shopping/Amazon
05/23/2018,WHOLEFDS MTE #10408,-9.38,Grocery
05/21/2018,NEW YORK MART MOTT ST,-15.7,Grocery
05/21/2018,Ultra Mobile,-32.61,Bill/Mobile
05/22/2018,Amazon.com,-17.58,Shopping/Amazon
05/21/2018,SQ *MY PIE PIZZERIA ROMAN,-5.39,Restaurant
05/21/2018,LITTLE SHEEP MONGOLIAN HO,-26.0,Restaurant
05/19/2018,ROY'S FISH &amp; SUSHI,-31.43,Grocery
05/18/2018,LAND OF PLENTY,-20.0,Restaurant
05/20/2018,WHOLEFDS MTE #10408,-19.32,Grocery
05/20/2018,Amazon.com,-13.93,Shopping/Amazon
05/17/2018,WHOLEFDS MTE #10408,-7.98,Grocery
05/16/2018,AMAZON MKTPLACE PMTS,-9.99,Shopping/Amazon
05/16/2018,AMAZON MKTPLACE PMTS,-25.42,Shopping/Amazon
05/14/2018,PETCO 3746    63537468,-6.52,Pet
05/14/2018,Rakuten.com,-349.99,Shopping/HomeGoods
05/11/2018,LAND OF PLENTY,-23.0,Restaurant
05/11/2018,BLOOMINGDALES  NEW YORK,33.0,Shopping/General
05/10/2018,CAFE OLYMPIA 55,-8.32,Restaurant
05/09/2018,WHOLEFDS MTE #10408,-14.29,Grocery
05/07/2018,LUCKY CAT,-18.0,Restaurant
05/06/2018,BLOOMINGDALES  .COM,-33.0,Shopping/General
05/03/2018,THE SMITH  MIDTOWN,-22.0,Restaurant
05/04/2018,CL. MONACO N.YORK 1036,172.75,Shopping/Clothes
05/05/2018,YELPINC*EAT24 LEGEND 7,-24.99,Restaurant
05/01/2018,T J MAXX #1185,-3.26,Shopping/HomeGoods
04/28/2018,UBER   *TRIP VC663,-6.92,Transportation
04/28/2018,PAYPAL *JIUZHANG,-139.0,Education
04/27/2018,CAFE OLYMPIA 55,-5.53,Restaurant
04/26/2018,THE HOME DEPOT #6177,-16.28,Shopping/HomeGoods
04/26/2018,Amazon.com,-6.19,Shopping/Amazon
04/24/2018,HOT KITCHEN.,-19.67,Restaurant
04/23/2018,Ultra Mobile,-32.61,Bill/Mobile
04/23/2018,TST* GO! GO! CURRY - E 53,-9.25,Restaurant
04/21/2018,LITTLE SHEEP MONGOLIAN HO,-62.0,Restaurant
04/21/2018,Amazon.com,-4.34,Shopping/Amazon
04/19/2018,REICHENBACH HALL,-40.0,Restaurant
04/19/2018,WHOLEFDS MTE #10408,-8.41,Grocery
04/19/2018,Payment Thank You-Mobile,2345.1,Credit/Card Payment
04/18/2018,CHEWY.COM,-28.0,Pet
04/18/2018,DAI HACHI SUSHI CORP.,-13.0,Restaurant
04/18/2018,CHEWY.COM,-36.24,Pet
04/17/2018,LUCKY CAT,-16.5,Restaurant
04/17/2018,CLUB MONACO CORP,-247.0,Shopping/Clothes
04/16/2018,WHOLEFDS MTE #10408,-4.52,Grocery
04/14/2018,TOUS LES JOURS,-9.45,Restaurant
04/15/2018,SQ *MY PIE PIZZERIA ROMAN,-5.39,Restaurant
04/15/2018,CVS/PHARMACY #10460,-11.62,Health&Wellness
04/14/2018,ARITZIA FIFTH AVE,98.0,Shopping/Clothes
04/12/2018,PAPYRUS #2298,-7.57,Shopping/General
04/12/2018,GYU-KAKU RESTAURANT,-25.0,Restaurant
04/14/2018,INNISFREE,-4.36,Shopping/Beauty
04/12/2018,TRADER JOE'S #542  QPS,-19.24,Grocery
04/11/2018,BAUER DENTAL ARTS PLLC,-31.0,Health&Wellness
04/09/2018,CVS/PHARMACY #02400,-6.91,Health&Wellness
04/10/2018,ARITZIA.COM,-192.98,Shopping/Clothes
04/10/2018,AMAZON MKTPLACE PMTS,-16.99,Shopping/Amazon
04/07/2018,UBER   *TRIP OPD2J,-5.22,Transportation
04/06/2018,SQ *VIVI BUBBLE TEA,-4.9,Restaurant
04/04/2018,TST* CHOLA,-20.0,Restaurant
04/01/2018,CHINA BLUE,-39.0,Restaurant
03/30/2018,BAR PA TEA,-4.35,Restaurant
04/01/2018,LUSH LEXINGTON (750),-10.83,Shopping/Beauty
03/31/2018,TRADER JOE'S #542  QPS,-11.16,Grocery
03/30/2018,MUJI SOHO,-42.41,Shopping/Clothes
03/30/2018,POPEYES CHICKEN,-11.54,Restaurant
03/30/2018,JACKS WIFE FREDA,-22.6,Restaurant
03/29/2018,CAFE OLYMPIA 55,-8.27,Restaurant
03/29/2018,WHOLEFDS MTE #10408,-9.38,Grocery
03/28/2018,BESTBUYCOM805537013597,-1034.3,Shopping/Electronics
03/27/2018,MET OPERA,-43.5,Entertainment
03/24/2018,ANN TAYLOR #812,89.97,Shopping/Clothes
03/24/2018,UBER   *TRIP LZ7SF,-4.52,Transportation
03/23/2018,Ultra Mobile,-32.61,Bill/Mobile
03/23/2018,SQ *VIVI BUBBLE TEA,-17.69,Restaurant
03/22/2018,WHOLEFDS MTE #10408,-8.07,Grocery
03/20/2018,MACYS   .COM,59.43,Shopping/General
03/20/2018,GYU-KAKU RESTAURANT,-19.0,Restaurant
03/20/2018,T J MAXX #1185,-9.79,Shopping/HomeGoods
03/20/2018,AUTOMATIC PAYMENT - THANK,811.82,Credit/Card Payment
03/19/2018,SQ *DR. JARRET DRUCKER  D,-40.0,Health&Wellness
03/16/2018,ANNTAYLOR LOFT.COM #612,-89.97,Shopping/Clothes
03/10/2018,DAXI SICHUAN INC,-60.0,Restaurant
03/08/2018,DUANE READE #14389,-1.45,Health&Wellness
03/08/2018,TRADER JOE'S #542  QPS,-22.22,Grocery
03/07/2018,OMARS MEDITERRANEAN CUISI,-9.75,Restaurant
03/05/2018,WHOLEFDS MTE #10408,-11.38,Grocery
03/05/2018,CHEWY.COM,-64.24,Pet
03/04/2018,INNISFREE,-32.66,Shopping/Beauty
03/04/2018,MACYS   .COM,-104.86,Shopping/General
03/01/2018,T J MAXX #1185,-29.0,Shopping/HomeGoods
02/27/2018,UBER   *TRIP TGLUG,-2.99,Transportation
02/24/2018,TWO LITTLE RED HENS BAKER,-36.0,Restaurant
02/24/2018,SQ *ZAWA JAPANESE,-130.31,Restaurant
02/22/2018,Ultra Mobile,-32.61,Bill/Mobile
02/20/2018,AUTOMATIC PAYMENT - THANK,1474.8,Credit/Card Payment
02/19/2018,SQ *LADY M UES 78TH,-17.5,Restaurant
02/17/2018,LEGEND 72,-24.99,Restaurant
02/17/2018,STEPS ON BROADWAY,-180.0,Fitness
02/16/2018,WHOLEFDS MTE #10408,-4.9,Grocery
02/15/2018,OMARS MEDITERRANEAN CUISI,-9.74,Restaurant
02/14/2018,ROY'S FISH &amp; SUSHI,-14.1,Grocery
02/13/2018,THE HOME DEPOT 6177,-6.51,Shopping/HomeGoods
02/10/2018,MIGHTY QUINN`S BARBEQUE,-42.41,Restaurant
02/06/2018,HOT KITCHEN.,-15.0,Restaurant
02/06/2018,SQ *VIVI BUBBLE TEA,-4.9,Restaurant
01/31/2018,SMITH &amp; WOLLENSKY,-400.8,Restaurant
01/25/2018,BUDGET RENT ACAR TOLLS,-25.75,Travel/RentalCar
01/23/2018,Ultra Mobile,-32.61,Bill/Mobile
01/20/2018,POPEYE'S #10765,-5.43,Restaurant
01/20/2018,JING FONG RESTAURANT,-25.0,Restaurant
01/17/2018,CHICK-FIL-A AS IAH,-7.47,Restaurant
01/17/2018,BUDGET RENT-A-CAR,-384.86,Travel/RentalCar
01/16/2018,CAFE CASPIAN,-32.0,Restaurant
01/16/2018,HEB #599,-18.48,Grocery
01/15/2018,99 RANCH #1101,-5.78,Grocery
01/15/2018,99 RANCH #1101,-5.5,Grocery
01/15/2018,LUCKY POT,-15.14,Restaurant
01/16/2018,PHO BINH,-17.0,Restaurant
01/15/2018,SPACE CTR HOU ONLINE,-45.9,Shopping/General
01/14/2018,WWW.CLARKSUSA.COM #907,-55.99,Shopping/Clothes
01/11/2018,UNIVERSITY CO-OP,-5.41,Shopping/General
01/12/2018,CHICK-FIL-A #00359,-3.84,Restaurant
01/12/2018,JCPENNEY 2833,-46.55,Shopping/General
01/13/2018,CHEWY.COM,-51.39,Pet
01/12/2018,La Barbecue,-25.62,Restaurant
01/11/2018,JCPENNEY 2040,-21.65,Shopping/General
01/10/2018,Chengdu Taste,-43.43,Restaurant
